State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Telangana,Nagarkurnool,694,Achampet,4579,Akkavaram,అక్కవరం,authoritative,575652,509375,,
Telangana,Nalgonda,514,Narketpally,4634,Akkene Palle,అక్కెనె పల్లె,transliterated,576880,508254,,
Telangana,Nalgonda,514,Narketpally,4634,Akkenepalle Vari Lingotam,అక్కెనెపల్లె వరి లింగొతమ్,transliterated,576897,508254,,
Telangana,Peddapalli,682,Manthani,4401,Akkepalle,అక్కెపల్లె,transliterated,571791,505212,,
Telangana,Jangoan,689,Tharigoppula,6257,Akkerajepalle,అక్కెరజెపల్లె,transliterated,577675,506224,,
Telangana,Mahabubabad,688,Narsimhulapet,4719,Akkirala,అక్కిరల,transliterated,578618,506324,,
Telangana,Nizamabad,516,Vailpoor,4365,Aklur,అక్లుర్,transliterated,570882,503311,,
Telangana,Adilabad,501,Bhoraj,7529,Akoli,అకొలి,transliterated,569024,504309,,
Telangana,Sangareddy,691,Andole,4479,Aksanpalle,అక్సంపల్లె,transliterated,573512,502270,,
Telangana,Mulugu,720,Eturunagaram,4685,Akulavari Ghanpur,అకులవరి ఘంపూర్,transliterated,577906,506169,,
Telangana,Nagarkurnool,694,Tadoor,4582,Akunellikuduru,అకునెల్లికుదురు,transliterated,575705,509209,,
Telangana,Siddipet,692,Cherial,4672,Akunoor,అకునూర్,transliterated,577609,506223,,
Telangana,Karimnagar,508,V.Saidapur,4445,Akunur,అకునుర్,transliterated,572638,505472,,
Telangana,Suryapet,696,Munagala,4642,Akupamula,అకుపముల,transliterated,577021,508233,,
Telangana,Adilabad,501,Jainath,4307,Akurla,అకుర్ల,transliterated,569047,504309,,
Telangana,Ranga Reddy,518,Amangal,4563,Akuthotapalle,అకుథొతపల్లె,transliterated,575285,509321,,
Telangana,Sangareddy,691,Hathnoora,4489,Akwanchaguda,అక్వంచగూడ,transliterated,573816,502313,,
Telangana,Nalgonda,514,Miryalaguda,4664,Alagadapa,అలగదప,transliterated,577514,508208,,
Telangana,Nagarkurnool,694,Telkapally,4581,Alair,అలైర్,transliterated,575695,509412,,
Telangana,Yadadri Bhuvanagiri,697,Alair,4617,Alair,అలైర్,transliterated,576537,508101,,
Telangana,Warangal,522,Nekkonda,4713,Alamkhanipet,అలంఖనిపెత్,transliterated,578505,506112,,
Telangana,Narayanpet,721,Krishna,6264,Alampalle,అలంపల్లె,transliterated,575909,509352,,
Telangana,Vikarabad,698,Vikarabad,4530,Alampalle,ఆలంపల్లె,transliterated,956022,501101,,
Telangana,Jogulamba Gadwal,695,Alampur,4612,Alampur,అలంపూర్,authoritative,576440,509152,,
Telangana,Mahabubabad,688,Nellikudur,4716,Aleru,ఆలేరు,authoritative,578557,506102,,
Telangana,Mancherial,684,Kotapally,4351,Algaon,అల్గాంవ్,transliterated,570539,504201,,
Telangana,Sangareddy,691,Zahirabad,4474,Algole,అల్గొలె,transliterated,573349,502318,,
Telangana,Hyderabad,507,Bandlaguda,4509,Ali Samunder,అలి సముందెర్,transliterated,927809,500068,,
Telangana,Sangareddy,691,Kondapur,4491,Aliabad,అలిఅబద్,transliterated,573847,502306,,
Telangana,Medchal Malkajgiri,700,Shamirpet,4520,Aliabad,అలిఅబద్,transliterated,574120,500101,,
Telangana,Siddipet,692,Mulug,4486,Aliabad @ Adivimasjid,అలిఅబద్ @ అదివిమస్జిద్,transliterated,573718,502279,,
Telangana,Ranga Reddy,518,Ibrahimpatnam,4546,Alimiyakunta,అలిమియకుంట,transliterated,574842,501506,,
