State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Kerala,Thrissur,566,Thrissur,5654,Kuttoor (Ct),കുട്ടൂർ (സിടി),transliterated,627838,680013,,
Kerala,Palakkad,563,Alathur,5651,Kuzhalmannam-I,കുഴൽമണ്ണം-ഇ,transliterated,627693,678702,,
Kerala,Palakkad,563,Alathur,5651,Kuzhalmannam-Ii,കുഴൽമണ്ണം-ഐ,transliterated,627690,678702,,
Kerala,Malappuram,562,Kondotty,5941,Kuzhimanna,കുഴിമണ്ണ,transliterated,627453,673641,,
Kerala,Palakkad,563,Ottappalam,5647,Lakkidi-Perur- II,ലക്കിടി-പെരൂർ- ഐ,transliterated,627595,679301,,
Kerala,Kottayam,560,Meenachil,5668,Lalam (Part),ലാലം (പാർട്ട്),transliterated,628125,686651,,
Kerala,Thrissur,566,Kodungallur,5655,Lokamaleswaram,ലോകമലേശ്വരം,authoritative,913781,680664,,
Kerala,Thrissur,566,Thrissur,5654,Madakkathara,മാടക്കത്തറ,authoritative,627813,680651,,
Kerala,Kottayam,560,Changanassery,5671,Madappally,മടപ്പള്ളി,transliterated,628184,686536,,
Kerala,Thrissur,566,Kodungallur,5655,Madathumpady (Ct),മടത്തുംപടി (സിടി),transliterated,627884,680733,,
Kerala,Kannur,557,Payyannur,6599,Madayi (Ct),മടയി (സിടി),transliterated,627224,670304,,
Kerala,Thrissur,566,Mukundapuram,5656,Madayikonam (Ct),മടയിക്കോണം (സിടി),transliterated,627926,680712,,
Kerala,Kasaragod,558,Kasaragod,5630,Madhur (Ct),മധൂർ (സിടി),transliterated,627132,671124,,
Kerala,Kasaragod,558,Hosdurg,5631,Madikai,മടികൈ,transliterated,627154,671314,,
Kerala,Palakkad,563,Palakkad,5649,Malampuzha-I,മലമ്പുഴ-ഇ,transliterated,627638,678651,,
Kerala,Palakkad,563,Palakkad,5649,Malampuzha-Ii,മലമ്പുഴ-ഐ,transliterated,627639,678651,,
Kerala,Kannur,557,Taliparamba,5632,Malapattam,മലപട്ടം,transliterated,627206,670631,,
Kerala,Malappuram,562,Ernad,5641,Malappuram,മലപ്പുറം,authoritative,913321,676505,,
Kerala,Pathanamthitta,564,Mallappally,5680,Mallappally,മല്ലപ്പള്ളി,authoritative,628304,689585,,
Kerala,Pathanamthitta,564,Kozhenchery,5682,Mallapuzhassery,മല്ലപ്പുഴശ്ശേരി,authoritative,628326,689652,,
Kerala,Kasaragod,558,Vellarikkundu,5933,Maloth,മാലോത്ത്,authoritative,627146,671534,,
Kerala,Malappuram,562,Nilambur,5642,Mambad,മാംബാദ്,transliterated,627478,676542,,
Kerala,Thiruvananthapuram,565,Thiruvananthapuram,5691,Manacadu,മാനക്കാട്,transliterated,913462,695002,,
Kerala,Idukki,556,Thodupuzha,5666,Manakkad (Part),മനക്കാട് (പാർട്ട്),transliterated,628093,685608,,
Kerala,Thrissur,566,Thrissur,5654,Manakkody (Ct),മനക്കൊടി (സിടി),transliterated,627851,680012,,
Kerala,Ernakulam,555,Kanayannur,5661,Manakunnam (Ct),മണകുന്നം (സിടി),transliterated,628017,682307,,
Kerala,Thrissur,566,Talappilly,5652,Manalithara,മണലിത്തറ,authoritative,627748,680589,,
Kerala,Thrissur,566,Thrissur,5654,Manalur (Ct),മണലൂർ (സിടി),transliterated,627848,680617,,
Kerala,Thiruvananthapuram,565,Varkala,5946,Manamboor,മണമ്പൂർ,transliterated,628468,695141,,
Kerala,Wayanad,567,Mananthavady,5635,Mananthavady,മാനന്തവാടി,authoritative,627296,670645,,
Kerala,Kannur,557,Thalassery,5634,Manantheri (Ct),മണന്തേരി (സിടി),transliterated,627278,670643,,
Kerala,Kottayam,560,Kottayam,5670,Manarcad,മനാർക്കാഡ്,transliterated,628164,686019,,
Kerala,Thrissur,566,Chavakkad,5653,Manathala,മണത്തല,authoritative,931686,680514,,
Kerala,Thrissur,566,Mukundapuram,5656,Manavalassery (Ct),മണവലശ്ശേരി (സിടി),transliterated,627929,680121,,
Kerala,Kollam,559,Kollam,5688,Mangad,മാങ്ങാട്,authoritative,913833,691015,,
Kerala,Malappuram,562,Tirur,5644,Mangalam,മംഗളം,transliterated,627526,676561,,
Kerala,Palakkad,563,Alathur,5651,Mangalam Dam,മംഗളം ഡാം,transliterated,627710,678682,,
Kerala,Kasaragod,558,Manjeswaram,5932,Mangalpady (Ct),മംഗൽപാടി (സിടി),transliterated,627126,671324,,
Kerala,Kannur,557,Thalassery,5634,Mangattidam (Ct),മങ്ങാട്ടിടം (സിടി),transliterated,627276,670643,,
Kerala,Kottayam,560,Kanjirappally,5672,Manimala,മണിമല,authoritative,628205,686544,,
Kerala,Kasaragod,558,Hosdurg,5631,Maniyat (Ct),മണിയത്ത് (സിടി),transliterated,627172,671310,,
Kerala,Kannur,557,Taliparamba,5632,Maniyoor (Ct),മണിയൂർ (സിടി),transliterated,627217,670592,,
Kerala,Kozhikode,561,Vatakara,5638,Maniyur (Ct),മണിയൂർ (സിടി),transliterated,627366,673523,,
Kerala,Ernakulam,555,Muvattupuzha,5662,Manjalloor,മഞ്ഞള്ളൂർ,transliterated,628024,686670,,
Kerala,Malappuram,562,Ernad,5641,Manjeri,മഞ്ചേരി,authoritative,913319,676121,,
Kerala,Kottayam,560,Vaikom,5669,Manjoor,മാഞ്ഞൂർ,authoritative,628153,686603,,
Kerala,Idukki,556,Peerumade,5667,Manjumala,മഞ്ഞുമല,transliterated,628108,685533,,
Kerala,Malappuram,562,Perinthalmanna,5643,Mankada,മങ്കട,authoritative,627493,679324,,
Kerala,Palakkad,563,Palakkad,5649,Mankara,മങ്കര,authoritative,627631,678613,,
Kerala,Thrissur,566,Thrissur,5654,Mannamangalam,മാന്നമംഗലം,authoritative,627817,680014,,
Kerala,Alappuzha,554,Ambalappuzha,5674,Mannanchery (Ct),മണ്ണഞ്ചേരി (സിടി),transliterated,628232,688522,,
Kerala,Alappuzha,554,Chengannur,5677,Mannar (Ct),മന്നാർ (സിടി),transliterated,628276,689623,,
Kerala,Palakkad,563,Mannarkad,5648,Mannarkad-I (Ct),മണ്ണാർക്കാട്-ഇ (സിടി),transliterated,627627,678582,,
