State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Karnataka,Mysuru,545,Piriyapatna,5569,Adagoor,ಅದಗೂರ್,transliterated,618105,571102,Rural,Inhabitant
Karnataka,Tumakuru,548,Gubbi,5538,Adagoor,ಅದಗೂರ್,transliterated,611831,572216,Rural,Inhabitant
Karnataka,Hassan,539,Belur,5554,Adagooru,ಅದಗೂರು,transliterated,615377,573121,Rural,Inhabitant
Karnataka,Hassan,539,Belur,5554,Adagunchanahalli,ಅದಗುಂಚನಹಳ್ಳಿ,transliterated,615142,573101,Rural,Inhabitant
Karnataka,Hassan,539,Channarayapatna,5560,Adagur,ಅದಗುರ್,transliterated,617189,573116,Rural,Inhabitant
Karnataka,Mysuru,545,Krishnarajanagara,5571,Adaguru,ಅದಗುರು,transliterated,618585,571601,Rural,Inhabitant
Karnataka,Belagavi,527,Athni,5434,Adahalli,ಅದಹಳ್ಳಿ,transliterated,597334,591248,Rural,Inhabitant
Karnataka,Mysuru,545,Saraguru,7098,Adahalli,ಅದಹಳ್ಳಿ,transliterated,618971,571121,Rural,Inhabitant
Karnataka,Bengaluru South,631,Magadi,5605,Adakamaranahalli,ಅದಕಮರನಹಳ್ಳಿ,transliterated,625983,562120,Rural,Inhabitant
Karnataka,Bengaluru Urban,525,Bengaluru North,5542,Adakamaranahalli,ಅದಕಮರನಹಳ್ಳಿ,transliterated,612779,,Rural,Inhabitant
Karnataka,Mysuru,545,Nanjangud,5574,Adakanahalli,ಅದಕನಹಳ್ಳಿ,transliterated,619190,571302,Rural,Inhabitant
Karnataka,Mandya,544,Nagamangala,5547,Adakatahalli,ಅದಕತಹಳ್ಳಿ,transliterated,613697,571418,Both,Inhabitant
Karnataka,Bengaluru Rural,526,Doddaballapura,5602,Adakavala,ಅದಕವಲ,transliterated,624996,,Rural,Inhabitant
Karnataka,Tumakuru,548,Gubbi,5538,Adakekere,ಅದಕೆಕೆರೆ,transliterated,611951,572213,Rural,Inhabitant
Karnataka,Tumakuru,548,Gubbi,5538,Adalagere,ಅದಲಗೆರೆ,transliterated,611765,572223,Rural,Inhabitant
Karnataka,Belagavi,527,Athni,5434,Adalatti,ಅದಲತ್ತಿ,transliterated,597333,591248,Rural,Inhabitant
Karnataka,Uttara Kannada,550,Sirsi,5483,Adalli,ಅದಲ್ಲಿ,transliterated,603197,581315,Rural,Inhabitant
Karnataka,Kolar,542,Kolar Gold Field,7002,Adampalli,ಅದಂಪಲ್ಲಿ,transliterated,622753,563117,Rural,Inhabitant
Karnataka,Uttara Kannada,550,Supa,5479,Adanagaov,ಅದನಗಒವ್,transliterated,939214,581186,Unmapped,Inhabitant
Karnataka,Chitradurga,533,Holalkere,5506,Adanur,ಅದನುರ್,transliterated,605728,577526,Rural,Inhabitant
Karnataka,Raichur,546,Lingasugur,5459,Adapur,ಅದಪುರ,transliterated,600374,584125,Rural,Inhabitant
Karnataka,Davanagere,535,Harihar,5509,Adapura,ಅದಪುರ,transliterated,606236,577530,Rural,Inhabitant
Karnataka,Koppal,543,Kanakagiri,7091,Adapura,ಅದಪುರ,transliterated,601670,583229,Rural,Inhabitant
Karnataka,Gadag,537,Laxmeshwar,7083,Adarakatti,ಅದರಕತ್ತಿ,transliterated,602069,582116,Rural,Inhabitant
Karnataka,Bengaluru South,631,Magadi,5605,Adarangi,ಅದರಂಗಿ,transliterated,625822,561101,Rural,Inhabitant
Karnataka,Shivamogga,547,Sagar,5515,Adaranthe,ಅದರಂಥೆ,transliterated,607184,577401,Rural,Inhabitant
