State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Andhra Pradesh,Y.S.R. Kadapa,504,Jammalamadugu,5215,Sunnapurallapalle,,593152,516434,Rural,Inhabitant
Andhra Pradesh,Chittoor,503,Srirangarajapuram,5419,Suparvarajapuram,,596651,517167,Rural,Inhabitant
Andhra Pradesh,Y.S.R. Kadapa,504,Chakrayapet,5234,Surabhi,,593476,516128,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Balayapalli,5188,Surabhivari Khandrika,,592423,524404,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Doravarisatram,5196,Suragunta Tagelu,,592702,524123,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Chinturu,4732,Surakunta,,579149,533352,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Kumara Venkata Bhupala Puram,5382,Suramala,,595977,517643,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Koyyuru,4851,Suramanda,,585626,531087,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Seethanagaram,4814,Surammapeta,,582238,535527,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Gandepalli,4904,Surampalem,,587374,533437,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Gangavaram,4894,Surampalem,,587106,533285,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Rajavommangi,4888,Surampalem,,586898,533436,Rural,Inhabitant
Andhra Pradesh,Krishna,510,Gannavaram,5012,Surampalle,,589227,521212,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Rowthulapudi,4891,Surampeta,,586996,533446,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Ranastalam,4805,Surampeta,,581677,532409,Rural,Inhabitant
Andhra Pradesh,West Godavari,523,Iragavaram,4979,Surampudi,,588657,534328,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Chinturu,4732,Surannagandi,,579205,533347,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Salur,4817,Surapadu @ Kanjupaka,,582356,535593,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Bheemadole,4963,Surappagudem,,588355,534425,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Renigunta,5376,Surappakasam,,595769,517520,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Doravarisatram,5196,Surapu Agraharam,,592704,524123,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Jiyyammavalasa,4810,Surapudoravalasa,,582073,535594,Rural,Inhabitant
